spider weight ,M weight ,spider weight_2 ,V weight 
0.0144,0.0027,0.0128,0.015
0.0077,0.0009,0.027,0.0109
0.0142,0.001,0.0169,0.0128
0.0104,0.0031,0.0028,0.0145
0.0165,0.0019,0.0152,0.0011
0.0104,0.0077,0.0016,0.0035
0.0475,0.008,0.0098,0.0018
0.0142,0.0023,0.0137,0.0016
0.0051,0.0014,0.0101,0.013
0.0159,0.0003,0.0168,0.0146
0.0139,0.0023,0.0133,0.0141
0.0098,0.0023,0.0139,0.015
0.0139,0.0088,0.0159,0.005
0.02088,0.0071,0.0128,0.0033
0.0142,0.0006,0.0139,0.0164
0.0142,0.001,0.0248,0.0167
0.0588,0.0015,0.0016,0.0211
0.0231,0.0028,0.0231,0.0033
0.0071,0.0003,0.0248,0.0297
0.0051,0.0008,0.0199,0.0189
0.0154,0.001,0.0215,0.0063
0.0134,0.0053,0.0295,0.0167
0.0086,0.0018,0.0245,0.0187
0.0101,0.00113,0.0164,0.03
