,fname,Distance(cm)
1,Z:\HsinYi\web_vibration/110121/1101_spider_prey/1101_spider_prey_nohand_fft.npz,2.08
2,Z:/HsinYi/web_vibration\102121\102121_spider_prey\102121_spider_prey_fft.npz,1.86
3,Z:/HsinYi/web_vibration\081421\0814_spider003_spider_prey\0814_spider003_spider_prey_fft.npz,3.82
4,Z:/HsinYi/web_vibration\081321\0813_spider003_spider_prey\0813_spider003_spider_prey_fft.npz,6.95
5,Z:/HsinYi/web_vibration\070121\0701_spider003_web3_spider_prey\0701_spider003_web3_spider_prey_fft.npz,3.78
6,Z:/HsinYi/web_vibration\061921\0619_spider002_spider_prey_top_C001H001S0001\0619_spider002_spider_prey_top_C001H001S0001_fft.npz,1.28
7,Z:\HsinYi\web_vibration/011822/011822_spider_prey2/011822_spider_prey2_fft.npz,1.75
8,Z:\HsinYi\web_vibration/011922_2/011922_spider_prey/011922_spider_prey_nohand_fft.npz,3.14
9,Z:/HsinYi/web_vibration/012122\012122_spider_prey\012122_spider_prey_fft.npz,5.02
10,Z:/HsinYi/web_vibration/032122\032122l_Spider_prey\032122l_Spider_prey_fft.npz,2.38
11,Z:\HsinYi\web_vibration/082823/082823_spider_prey_C001H001S0001/082823_spider_prey_C001H001S0001_fft.npz,1.87
12,Z:\HsinYi\web_vibration/082423/082423_spider_prey_C001H001S0001/082423_spider_prey_C001H001S0001_fft.npz,5.39
