,fname,Distance(cm)
0,Z:\HsinYi\web_vibration/041725/041725_spider_prey3_C001H001S0001/041725_spider_prey3_C001H001S0001_nohand_fft.npz,2.26
0,Z:\HsinYi\web_vibration/041725/041725_spider_prey2_C001H001S0001/041725_spider_prey2_C001H001S0001_nohand_fft.npz,4.36
0,Z:\HsinYi\web_vibration/042225\042225_spider_prey2_C001H001S0001\042225_spider_prey2_C001H001S0001_nohand_fft.npz,2.96
0,Z:\HsinYi\web_vibration/042325\042325_spider_prey1_C001H001S0001\042325_spider_prey1_C001H001S0001_nohand_fft.npz,2.67
0,Z:\HsinYi\web_vibration/042425\042425_spider_prey2_C001H001S0001\042425_spider_prey2_C001H001S0001_nohand_fft.npz,2.07
0,Z:\HsinYi\web_vibration/042425\042425_spider_prey1_C001H001S0001\042425_spider_prey1_C001H001S0001_nohand_fft.npz,1.94
0,Z:\HsinYi\web_vibration/050925\050925_spider_preyl1_C001H001S0001\050925_spider_preyl1_C001H001S0001_nohand_fft.npz,3.51
0,Z:\HsinYi\web_vibration/050825\050825_spider_prey2_C001H001S0001\050825_spider_prey2_C001H001S0001_nohand_fft.npz,2.8
0,Z:\HsinYi\web_vibration/050825\050825_spider_prey1_C001H001S0001\050825_spider_prey1_C001H001S0001_nohand_fft.npz,2.19
0,Z:\HsinYi\web_vibration/050725\050725_spider_prey2_C001H001S0001\050725_spider_prey2_C001H001S0001_nohand_fft.npz,1.92
0,Z:\HsinYi\web_vibration/050725\050725_spider_prey1_C001H001S0001\050725_spider_prey1_C001H001S0001_fft.npz,4.24
0,Z:\HsinYi\web_vibration/051425\051425_spider_prey1_C001H001S0001\051425_spider_prey1_C001H001S0001_nohand_fft.npz,3.67
