filename,weblist,amplitude_level,fft_mean,fft_snr
Z:\HsinYi\web_vibration/piezo_control2\control1_C001H001S0001\control1_C001H001S0001.avi,1,1.00E-01,90.29050024,1
Z:\HsinYi\web_vibration/piezo_control2\control1_2_C001H001S0001\control1_2_C001H001S0001.avi,1,2,179.3084489,1.985906031
Z:\HsinYi\web_vibration/piezo_control2\control1_4_C001H001S0001\control1_4_C001H001S0001.avi,1,4,997.0685507,11.04289541
Z:\HsinYi\web_vibration/piezo_control2\control1_6_C001H001S0001\control1_6_C001H001S0001.avi,1,6,2064.247602,22.86229002
Z:\HsinYi\web_vibration/piezo_control2\control1_8_C001H001S0001\control1_8_C001H001S0001.avi,1,8,2570.517645,28.46941415
Z:\HsinYi\web_vibration/piezo_control2\control1_10_C001H001S0001\control1_10_C001H001S0001.avi,1,10,2768.282417,30.65973064
Z:\HsinYi\web_vibration/piezo_control2\control1_50_C001H001S0001\control1_50_C001H001S0001.avi,1,50,6512.504951,72.12835164
Z:\HsinYi\web_vibration/piezo_control2\control1_256_C001H001S0001\control1_256_C001H001S0001.avi,1,256,25759.47068,285.2954697
Z:\HsinYi\web_vibration/piezo_control2\control2_C001H001S0001\control2_C001H001S0001.avi,2,1.00E-01,128.7686957,1
Z:\HsinYi\web_vibration/piezo_control2\control2_2_C001H001S0001\control2_2_C001H001S0001.avi,2,2,137.9550114,1.071339666
Z:\HsinYi\web_vibration/piezo_control2\control2_4_C001H001S0001\control2_4_C001H001S0001.avi,2,4,359.6459657,2.79296116
Z:\HsinYi\web_vibration/piezo_control2\control2_6_C001H001S0001\control2_6_C001H001S0001.avi,2,6,849.3317811,6.595793927
Z:\HsinYi\web_vibration/piezo_control2\control2_8_C001H001S0001\control2_8_C001H001S0001.avi,2,8,966.3473491,7.504520753
Z:\HsinYi\web_vibration/piezo_control2\control2_10_C001H001S0001\control2_10_C001H001S0001.avi,2,10,862.211551,6.695816451
Z:\HsinYi\web_vibration/piezo_control2\control2_50_C001H001S0001\control2_50_C001H001S0001.avi,2,50,1962.259986,15.23864147
Z:\HsinYi\web_vibration/piezo_control2\control2_256_C001H001S0001\control2_256_C001H001S0001.avi,2,256,8137.064306,63.19132349
Z:\HsinYi\web_vibration/piezo_control2\control3_C001H001S0001\control3_2_C001H001S0001.avi,3,1.00E-01,119.9736384,1
Z:\HsinYi\web_vibration/piezo_control2\control3_2_C001H001S0001\control3_C001H001S0001.avi,3,2,194.410231,1.620441237
Z:\HsinYi\web_vibration/piezo_control2\control3_4_C001H001S0001\control3_4_C001H001S0001.avi,3,4,1015.306068,8.462742997
Z:\HsinYi\web_vibration/piezo_control2\control3_6_C001H001S0001\control3_6_C001H001S0001.avi,3,6,2258.825516,18.82768204
Z:\HsinYi\web_vibration/piezo_control2\control3_8_C001H001S0001\control3_8_C001H001S0001.avi,3,8,2756.60067,22.97671978
Z:\HsinYi\web_vibration/piezo_control2\control3_10_C001H001S0001\control3_10_C001H001S0001.avi,3,10,2555.761573,21.30269289
Z:\HsinYi\web_vibration/piezo_control2\control3_50_C001H001S0001\control3_50_C001H001S0001.avi,3,50,6722.995738,56.03727476
Z:\HsinYi\web_vibration/piezo_control2\control3_256_C001H001S0001\control3_256_C001H001S0001.avi,3,256,19170.788,159.7916697
Z:\HsinYi\web_vibration/piezo_control\control1_C001H001S0001\control1_C001H001S0001.avi,4,1.00E-01,90.46904553,1
Z:\HsinYi\web_vibration/piezo_control\control1_2_C001H001S0001\control1_2_C001H001S0001.avi,4,2,203.146865,2.245484782
Z:\HsinYi\web_vibration/piezo_control\control1_4_C001H001S0001\control1_4_C001H001S0001.avi,4,4,1103.169239,12.19388613
Z:\HsinYi\web_vibration/piezo_control\control1_6_C001H001S0001\control1_6_C001H001S0001.avi,4,6,2509.210529,27.73556983
Z:\HsinYi\web_vibration/piezo_control\control1_8_C001H001S0001\control1_8_C001H001S0001.avi,4,8,2791.329849,30.853977
Z:\HsinYi\web_vibration/piezo_control\control1_10_C001H001S0001\control1_10_C001H001S0001.avi,4,10,3014.499319,33.32078173
Z:\HsinYi\web_vibration/piezo_control\control1_50_C001H001S0001\control1_50_C001H001S0001.avi,4,50,8128.054715,89.8434892
Z:\HsinYi\web_vibration/piezo_control\control1_256_C001H001S0001\control1_256_C001H001S0001.avi,4,256,15716.22949,173.7194131
Z:\HsinYi\web_vibration/piezo_control\control2_C001H001S0001\control2_C001H001S0001.avi,5,1.00E-01,87.25193825,1
Z:\HsinYi\web_vibration/piezo_control\control2_2_C001H001S0001\control2_2_C001H001S0001.avi,5,2,124.1368037,1.422739783
Z:\HsinYi\web_vibration/piezo_control\control2_4_C001H001S0001\control2_4_C001H001S0001.avi,5,4,334.1673202,3.829912858
Z:\HsinYi\web_vibration/piezo_control\control2_6_C001H001S0001\control2_6_C001H001S0001.avi,5,6,718.1754548,8.231054452
Z:\HsinYi\web_vibration/piezo_control\control2_8_C001H001S0001\control2_8_C001H001S0001.avi,5,8,803.9923193,9.21460698
Z:\HsinYi\web_vibration/piezo_control\control2_10_C001H001S0001\control2_10_C001H001S0001.avi,5,10,812.7422601,9.314890607
Z:\HsinYi\web_vibration/piezo_control\control2_50_C001H001S0001\control2_50_C001H001S0001.avi,5,50,2080.57841,23.84564116
Z:\HsinYi\web_vibration/piezo_control\control2_256_C001H001S0001\control2_256_C001H001S0001.avi,5,256,15376.61278,176.2323347
