spider,frequency,61db,67db,71db
4,100,60.01762091,139.6822513,185.1163823
4,200,24.01608015,40.32586356,60.00284314
4,300,20.55195423,27.43945519,35.46082134
4,400,17.82400961,18.32637,19.12611178
3,100,166.4955302,181.8571304,181.0758229
3,200,29.0965581,39.14473969,59.03260405
3,300,19.0023363,20.94588112,23.45148798
3,400,18.30099539,19.19159013,20.44915391
2,100,181.6675845,238.7046439,234.9528717
2,200,30.97575679,63.0491778,110.7747435
2,300,19.45706463,21.81096237,24.63404734
2,400,18.35141666,19.033527,20.11010799
1,100,164.9990337,274.4033157,400.2606552
1,200,28.41730309,53.05160849,130.1116021
1,300,20.1385256,23.66752183,27.90492853
1,400,18.53741218,19.32768116,20.53993947
